eco	family	variation	epd	pgn	move_count	eval	master_games	master_white_win	master_black_win	master_draw	lichess_games	lichess_white_win	lichess_black_win	lichess_draw
C31	Van Geet Opening	Grünfeld Defense, Steiner Gambit	rnbqkbnr/ppp2ppp/8/4p3/4NP2/8/PPPP2PP/R1BQKBNR b KQkq -	1. e4 e5 2. f4 d5 3. Nc3 dxe4 4. Nxe4	7	-0.49	1	0.0	100.0	0.0	75650	47.384005287508266	48.453403833443495	4.162590879048249
C32	King's Gambit Declined	Falkbeer Countergambit, Alapin Variation	rnb1k2r/ppp2ppp/8/3q4/4nP2/8/PPPNQbPP/RNBK1B1R b kq -	1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 Nf6 5. dxe4 Nxe4 6. Nf3 Bc5 7. Qe2 Bf2+ 8. Kd1 Qxd5+ 9. Nfd2	17	1.93	7	85.71428571428571	14.285714285714285	0.0	2283	73.19316688567675	24.13491020586947	2.671922908453789
C32	King's Gambit Declined	Falkbeer Countergambit, Charousek Gambit	rnbqkb1r/ppp2ppp/8/3P4/4nP2/8/PPP1Q1PP/RNB1KBNR b KQkq -	1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 Nf6 5. dxe4 Nxe4 6. Qe2	11	0.09	4	50.0	25.0	25.0	21056	46.74202127659575	47.87234042553192	5.38563829787234
C32	King's Gambit Declined	Falkbeer Countergambit, Charousek Gambit Accepted	rnbqkb1r/ppp2ppp/5n2/3P4/4PP2/8/PPP3PP/RNBQKBNR b KQkq -	1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 Nf6 5. dxe4	9	0.5	113	51.32743362831859	24.778761061946902	23.893805309734514	164605	49.05744053947328	46.38437471522736	4.558184745299354
C32	King's Gambit Declined	Falkbeer Countergambit, Charousek Gambit, Keres Variation	rnbqkb1r/ppp2ppp/5n2/3P4/4pP2/3P4/PPPN2PP/R1BQKBNR b KQkq -	1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 Nf6 5. Nd2	9	-0.38	2	50.0	50.0	0.0	7323	51.34507715417179	44.599207974873686	4.055714870954527
C32	King's Gambit Declined	Falkbeer Countergambit, Charousek Gambit, Main Line	rn1qk2r/ppp2ppp/8/2bP1b2/4nP2/5N2/PPP1Q1PP/RNB1KB1R w KQkq -	1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 Nf6 5. dxe4 Nxe4 6. Nf3 Bc5 7. Qe2 Bf5	14	0.67	26	57.692307692307686	15.384615384615385	26.923076923076923	9131	49.19504983024861	45.526229328660605	5.27872084109079
C32	King's Gambit Declined	Falkbeer Countergambit, Charousek Gambit, Old Line	rnbqkb1r/ppp2ppp/5n2/3P4/4pP2/3P4/PPP1Q1PP/RNB1KBNR b KQkq -	1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 Nf6 5. Qe2	9	-0.27	13	30.76923076923077	15.384615384615385	53.84615384615385	23227	46.52344254531364	49.26594050027985	4.210616954406509
C32	King's Gambit Declined	Falkbeer Countergambit, Charousek Variation	rnb1kb1r/ppp3pp/8/3q1p2/4nPP1/8/PPPNQ2P/R1B1KBNR b KQkq -	1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 Nf6 5. dxe4 Nxe4 6. Qe2 Qxd5 7. Nd2 f5 8. g4	15	-0.8	0	0.0	0.0	0.0	125	46.400000000000006	50.4	3.2
C32	King's Gambit Declined	Falkbeer Countergambit, Tarrasch Variation	rn1q1rk1/ppp2ppp/8/2bP1b2/4nPP1/5N2/PPP1Q2P/RNB1KB1R w KQ -	1. e4 e5 2. f4 d5 3. exd5 e4 4. d3 Nf6 5. dxe4 Nxe4 6. Nf3 Bc5 7. Qe2 Bf5 8. g4 O-O	16	-0.53	1	0.0	100.0	0.0	244	35.24590163934426	61.885245901639344	2.8688524590163933
C33	King's Gambit Accepted		rnbqkbnr/pppp1ppp/8/8/4Pp2/8/PPPP2PP/RNBQKBNR w KQkq -	1. e4 e5 2. f4 exf4	4	-0.64	3221	26.637690158335918	36.85190934492394	36.51040049674014	26962511	52.79013145326116	43.91048370828666	3.2993848384521756
C33	King's Gambit Accepted	Basman Gambit	rnbqkbnr/pppp1ppp/8/8/4Pp2/8/PPPPQ1PP/RNB1KBNR b KQkq -	1. e4 e5 2. f4 exf4 3. Qe2	5	-1.22	3	33.33333333333333	66.66666666666666	0.0	1336	47.455089820359284	48.65269461077844	3.8922155688622757
C33	King's Gambit Accepted	Bishop's Gambit	rnbqkbnr/pppp1ppp/8/8/2B1Pp2/8/PPPP2PP/RNBQK1NR b KQkq -	1. e4 e5 2. f4 exf4 3. Bc4	5	-0.71	793	26.86002522068096	37.3266078184111	35.81336696090794	1920305	54.50373768750276	42.269795683498195	3.226466628999039
C33	King's Gambit Accepted	Bishop's Gambit, Anderssen Defense	rnbqkbnr/pppp1p1p/8/6p1/2B1Pp2/8/PPPP2PP/RNBQK1NR w KQkq -	1. e4 e5 2. f4 exf4 3. Bc4 g5	6	0.26	2	100.0	0.0	0.0	177228	54.74812106439163	42.21962669555601	3.0322522400523617
C33	King's Gambit Accepted	Bishop's Gambit, Anderssen Variation	rnbqkbnr/pp3ppp/2p5/3B4/4Pp2/8/PPPP2PP/RNBQK1NR w KQkq -	1. e4 e5 2. f4 exf4 3. Bc4 d5 4. Bxd5 c6	8	0.31	0	0.0	0.0	0.0	8372	57.3100812231247	38.99904443382704	3.690874343048256
C33	King's Gambit Accepted	Bishop's Gambit, Bledow Countergambit	rnbqkb1r/ppp2ppp/5n2/3B4/4Pp2/8/PPPP2PP/RNBQK1NR w KQkq -	1. e4 e5 2. f4 exf4 3. Bc4 d5 4. Bxd5 Nf6	8	-0.28	81	35.80246913580247	39.50617283950617	24.691358024691358	26125	52.79234449760766	42.29665071770335	4.911004784688995
